DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_AdaptiveErode(Object(M01, Ch01, Tight), Ch01, 95)
1	14.4833164141519
2	14.9734372024613
9	15.4021349426837
11	14.8786076405694
12	14.1671349991277
15	13.5857216583984
16	15.2032700322809
19	15.1192476325317
30	15.3376713147339
31	16.9425155237279
39	15.7474764601188
41	17.1954338151321
50	17.351125932494
55	16.7196609710411
57	16.1906546048083
87	15.5393708139584
89	17.9485779607709
92	14.2020601956345
97	15.4754788572074
106	15.7789040994269
110	13.689510192608
124	13.5178317922051
126	15.277568679004
128	15.0347556772027
129	16.3429279848127
132	14.3310371932627
135	16.2255859390599
137	15.6979630486975
140	16.0722008599086
141	18.2263817253924
147	17.0341649117063
148	18.7054495505313
149	15.6799194070462
166	13.5282985624857
180	17.4568520747447
187	18.4271869059882
189	14.8833634686086
201	17.6664062793774
213	17.9091044624473
223	17.0300097305464
224	14.6678246985407
228	15.4525962794723
229	14.7352190625368
238	13.0055244399814
243	17.34296645594
245	16.1512665503942
255	11.9031239394856
256	15.7699311648943
258	12.907203231464
261	17.2488550549801
268	16.613503320161
277	17.7224013683771
283	14.3112702360018
296	14.4637575714485
308	14.7352190625368
312	17.1542273484866
313	13.5439835515944
320	16.9925673773031
321	15.612070021651
323	17.1170567146706
324	16.6177626468097
332	17.2652591053399
336	17.7782200935775
348	15.2172286611116
349	17.0466243781376
351	15.8192193211052
360	17.1129216604455
361	13.1731352865108
366	15.9573032573487
371	14.6388464192677
373	16.4937956123309
376	16.3515864903127
377	15.5211428067296
380	17.3062012048151
381	15.3515077373174
385	15.4250923782047
400	17.9091044624473
401	15.3883440415963
407	16.6687896737024
410	16.3429279848127
415	15.7159859743219
432	14.3803357124129
434	15.9128909717867
439	15.0676699588919
453	18.5954053788325
456	16.0325217957415
457	19.1429974779713
459	15.1379595798318
463	18.0311910301182
470	16.3342648895923
472	15.025338353587
482	18.8824350991198
484	15.3791432371615
485	15.1239277897812
491	15.4617533743676
502	14.5807170840972
503	17.1542273484866
507	19.946850822861
511	13.6688155319585
512	13.3439448219476
513	15.5074577406094
521	15.2451075766873
535	15.1098829691169
544	12.6188616281267
546	15.5621257987851
553	16.269144637406
556	20.7502589961582
560	17.0839482567594
562	13.4443362397896
563	15.7204884772002
576	17.2529575297807
580	18.2186142493416
587	15.8147449272041
594	14.2468382159251
599	14.7927412814993
604	17.2447516042132
606	15.5939269939976
611	14.453968225101
612	16.0148550996916
622	15.8861840030814
632	16.1337298823017
639	14.1571405463853
641	16.8587655520124
643	13.1838757165759
646	18.5992108440067
656	17.6383420737639
662	14.7304154050131
664	17.5094757481955
669	12.7970714979746
672	15.9173377766721
679	18.4118181068958
681	18.0115556207981
682	15.0676699588919
683	20.8217589928994
695	15.0535726503706
702	16.5964550824022
706	18.3502141931418
725	11.3304604826442
743	22.6952486212152
749	15.165984212732
752	16.3559140241956
753	16.7830332549597
757	15.8728136677041
765	17.8932906805887
766	13.6013404276778
775	16.8335593098284
780	17.8100379626013
788	16.7111931756278
791	15.0958250814689
796	16.7956790183425
806	16.4120681263516
811	15.0159151238401
813	16.4163797166339
819	17.1087856068116
821	16.0854054636914
832	16.5537576741709
835	16.2343070286114
840	15.6256634678672
841	16.5921902859596
854	15.5803058584875
860	20.3542581414039
863	14.7496206483779
873	16.7745974498251
885	16.1950251419658
895	12.1502739812829
896	17.1872004252346
897	16.1161741318548
903	16.3255971973452
911	15.1239277897812
913	17.3184649606034
918	18.7734283919616
925	17.0466243781376
930	17.1046485530438
933	13.4443362397896
936	15.4480156965113
938	16.9216168904822
940	19.4983077640526
947	14.6291742368974
949	16.6645433891669
953	16.7577130998496
956	16.4163797166339
961	15.9617376893524
965	16.2865354971414
976	13.5961361648404
987	19.5707654933514
989	17.4081351832726
1000	19.1503900240966
1003	8.59565880654132
1009	14.4637575714485
1024	16.4120681263516
1035	16.4766235143775
1038	14.2468382159251
1052	16.7069576684819
1053	15.8505047126627
1055	16.4680307505522
1070	15.0394621276786
1073	13.2320997676272
1076	15.5484768040829
1079	13.2694861986949
1084	14.2219789434253
1092	14.5952711224077
1096	16.2865354971414
1098	15.0300477529672
1101	14.8595691073194
1111	17.9485779607709
1116	15.0394621276786
1117	16.05457782735
1118	16.6305340814963
1120	14.5369675426536
1125	16.2734940946786
1136	14.4637575714485
1137	15.4617533743676
1164	11.4299614966978
1166	14.5174809822281
1167	10.5610482226537
1175	14.2567697878638
1178	14.787956309263
1194	12.2604433581164
1200	17.770256724715
1207	18.9086529131344
1212	16.8461671453068
1214	15.5165824591046
1233	15.7968346780524
1238	16.8881252853783
1241	16.3212616250479
1244	17.5337103283035
1246	17.7383674989741
1248	14.0819560501933
1250	16.3125870235183
1251	16.4980858440622
1252	12.3295168250019
1256	14.7208033874121
1257	13.4811341008624
1258	17.6142514519039
1260	13.0868945212179
1262	17.7901584632006
1263	17.5579114582877
1270	14.3458445371747
1282	18.3386404208185
1283	16.5751201268251
1288	16.7577130998496
1299	16.3299316185545
1310	15.6663730378591
1314	15.1473068851868
1317	15.4571755050224
1319	17.2488550549801
1337	15.5439244758331
