File_Name,NC,Object_Number,Cell_Diameter,Nucleus_Diameter
1.tif,0.6207174465471733,1,14.4833164141519,8.99004718212713
2.tif,0.6949493114282085,2,14.9734372024613,10.405779873564
9.tif,0.6956221781952755,9,15.4021349426837,10.7140666576872
11.tif,0.6855281534006135,11,14.8786076405694,10.1997044210118
12.tif,0.7599829260943115,12,14.1671349991277,10.7667807110102
15.tif,0.7178700601869993,15,13.5857216583984,9.75278282459828
16.tif,0.6937742564568309,16,15.2032700322809,10.5476373623581
19.tif,0.7051337619849285,19,15.1192476325317,10.6610919615088
30.tif,0.7276555168094323,30,15.3376713147339,11.1605411471759
31.tif,0.6898103103751123,31,16.9425155237279,11.6871218919579
39.tif,0.6853822717633499,39,15.7474764601188,10.7930411907761
41.tif,0.6596487162978134,41,17.1954338151321,11.3429458423359
50.tif,0.6508466151160998,50,17.351125932494,11.2929215816169
55.tif,0.6408064539253666,55,16.7196609710411,10.7140666576872
57.tif,0.7086323639333879,57,16.1906546048083,11.4732218462343
87.tif,0.7169853522288065,87,15.5393708139584,11.14150125646
89.tif,0.7472856564745375,89,17.9485779607709,13.4127148641991
92.tif,0.7048702754856097,92,14.2020601956345,10.0106100825601
97.tif,0.6936046932144923,97,15.4754788572074,10.7338647651007
106.tif,0.7329645738472397,106,15.7789040994269,11.5653777190129
110.tif,0.7317776229333465,110,13.689510192608,10.0176772278685
124.tif,0.7084747584397336,124,13.5178317922051,9.57704261361146
126.tif,0.7098885707621475,126,15.277568679004,10.8453713942587
128.tif,0.688941180294855,128,15.0347556772027,10.3580623216968
129.tif,0.6940583629124948,129,16.3429279848127,11.3429458423359
132.tif,0.783619339647334,132,14.3310371932627,11.2300779018459
135.tif,0.6748157852970081,135,16.2255859390599,10.9492815173708
137.tif,0.6654689605025204,137,15.6979630486975,10.4465071520237
140.tif,0.6820597330527973,140,16.0722008599086,10.9622010280802
141.tif,0.6739412786280183,141,18.2263817253924,12.2835110047733
147.tif,0.6507031843677629,147,17.0341649117063,11.0841853510929
148.tif,0.6894371795859782,148,18.7054495505313,12.8962323810061
149.tif,0.7372012924149618,149,15.6799194070462,11.5592568518369
166.tif,0.7488067331351675,166,13.5282985624857,10.1300810514521
180.tif,0.6943471573490587,180,17.4568520747447,12.121115614362
187.tif,0.7099013898608619,187,18.4271869059882,13.0814855957869
189.tif,0.6528384816071202,189,14.8833634686086,9.71643240805332
201.tif,0.6992058987801012,201,17.6664062793774,12.3524554807865
213.tif,0.8595037464740957,213,17.9091044624473,15.3929423814694
223.tif,0.724998106727474,223,17.0300097305464,12.3467248121966
224.tif,0.7015021476502377,224,14.6678246985407,10.2895105273835
228.tif,0.7271514691174873,228,15.4525962794723,11.2363780862977
229.tif,0.6579173810691645,229,14.7352190625368,9.69455673510464
238.tif,0.7510104768920806,238,13.0055244399814,9.76728511190204
243.tif,0.6985699678629197,243,17.34296645594,12.1152755197737
245.tif,0.681911074091034,245,16.1512665503942,11.0137275213099
255.tif,0.9959959799155752,255,11.9031239394856,11.8554635921645
256.tif,0.6611419726692943,256,15.7699311648943,10.4261633992172
258.tif,0.7092063605553526,258,12.907203231464,9.15387062873487
261.tif,0.6321545776830506,261,17.2488550549801,10.9039426827971
268.tif,0.6598368096617665,268,16.613503320161,10.9622010280802
277.tif,0.6417922179443827,277,17.7224013683771,11.3740992815113
283.tif,0.6572123912097503,283,14.3112702360018,9.40554413305167
296.tif,0.9521715086408475,296,14.4637575714485,13.7719778674216
312.tif,0.7072768200927448,312,17.1542273484866,12.1327873701856
313.tif,0.7672904064962877,313,13.5439835515944,10.3921686448819
320.tif,0.6301260378126032,320,16.9925673773031,10.7074591537237
321.tif,0.717299102413271,321,15.612070021651,11.1985238133434
323.tif,0.695395484042752,323,17.1170567146706,11.9031239394856
324.tif,0.6852027576324723,324,16.6177626468097,11.3865367912759
332.tif,0.7510676161988078,332,17.2652591053399,12.9673769993024
