Object_Number,Cell_Diameter,Nucleus_Diameter,NC
27.0,28.8362387009884,16.1304396345093,0.5593808471961501
44.0,32.8866030842406,17.6754174537861,0.5374655876896035
47.0,27.0055431913029,16.8545671294465,0.6241150940772224
74.0,26.2945103374326,17.1170567146706,0.6509745378411907
75.0,25.3447566154834,14.0744155109376,0.555318629587446
80.0,26.4755625816098,16.4529826154006,0.6214403401130751
100.0,20.9640274246117,14.1308714756883,0.6740532813412895
101.0,21.1906721457169,14.9201697365731,0.704091386718415
102.0,28.0978726216038,17.8189765016647,0.6341752894119146
111.0,25.155566933995,16.1600277479739,0.6424036393366029
153.0,26.8458681540135,18.3212660536579,0.6824612990181449
161.0,25.1048755637239,15.7204884772002,0.6261926468146302
200.0,26.4334279776514,15.2683011205661,0.5776133588679815
204.0,23.4249037276502,12.0111413247687,0.5127509365424214
205.0,21.2282110097662,15.9816774069199,0.7528508831746307
227.0,20.5265091922088,12.7194119160614,0.6196578189188291
248.0,28.1205321999814,16.6262780266393,0.5912504752186126
265.0,26.9346933713077,16.6549852906524,0.6183469424008442
287.0,25.0350073368611,16.3169249007453,0.6517643346850771
290.0,23.5672232717148,13.5086667155986,0.5731972137681404
296.0,25.1365696497744,16.1797230968409,0.643672677786649
322.0,25.1682238238192,15.5882529673228,0.6193624578533063
323.0,23.1169830310661,14.9840679721373,0.6481844084931299
353.0,22.4459719337559,11.8778281915412,0.5291741532331888
364.0,23.9093297889216,12.9181647648464,0.540298071041374
426.0,25.0921867200709,16.021482393623,0.6385048291071274
432.0,21.5557343073406,14.7051704586027,0.6821929723635067
458.0,23.3840819068058,16.71225188469,0.7146849703697795
461.0,29.7922744656126,15.2683011205661,0.5124919595578165
527.0,22.0162071164898,11.0153338405077,0.5003284072603671
544.0,20.4254119231241,20.3551273685792,0.9965589651357127
560.0,22.7069393697478,13.5909299091776,0.5985364072132346
563.0,23.2611866109141,13.4614334705782,0.578707943655038
566.0,27.1584170715893,15.121587892221,0.5567919460239767
568.0,27.0820880001129,17.6844240365126,0.652993374677716
576.0,27.9330409563668,15.1531460230179,0.5424810727442131
582.0,28.3461317416217,16.6931848483795,0.5889052164344619
584.0,25.3824253357233,14.3433777080726,0.5650909051581327
600.0,24.2663038632733,17.0424722347613,0.7023101800251843
604.0,26.8577284895397,17.693426034569,0.6587834128064878
616.0,22.5944584830026,14.040432969171,0.6214104657446586
683.0,22.0523407484121,12.9427942719831,0.5869124924035585
710.0,28.222275161415,16.8356612714161,0.5965380599234438
711.0,21.5483458806258,13.0286308923822,0.6046232487894253
715.0,30.127119213458,20.5730019113233,0.6828731869634981
717.0,25.6755850720058,16.7503208449165,0.652383219231076
724.0,23.6346932731239,15.1110538694224,0.6393590005505118
761.0,22.0451187600906,20.1348953992528,0.9133493730913361
762.0,22.3891465971867,12.9550914664644,0.5786326607058917
764.0,23.2132182858111,13.9949945556068,0.6028890256962401
810.0,21.5557343073406,15.8113883008419,0.7335119312292452
819.0,24.8242228119343,14.5527811599861,0.5862331026528581
854.0,24.9521835711457,15.6290599820836,0.6263604120064583
884.0,23.3295416998184,16.8356612714161,0.7216456065893121
889.0,21.0322772874953,15.423945317978,0.7333464230784118
891.0,24.5663018119003,13.1865594572076,0.5367742999404097
895.0,24.9585643879157,17.5125069047573,0.7016632300067871
898.0,23.6009823826626,15.1321145818998,0.6411646064790899
941.0,22.2536048750827,16.1106840366072,0.72395839357453
990.0,24.3187432628693,16.7883034806368,0.6903442048450654
1034.0,25.4826030327524,16.4433015421203,0.6452755835416804
1060.0,25.9040365248402,15.3411315903142,0.5922293838492354
1089.0,29.0398364649464,19.8882226776021,0.684860009511724
1109.0,28.3966446389638,19.9681274697875,0.7031861589164199
1110.0,21.1605931069274,15.6799194070462,0.7409962153618946
1194.0,26.3005654924553,18.3646711513388,0.6982614558841701
1231.0,24.3318354539996,17.5488399456913,0.7212295997508347
1245.0,24.5727828308264,13.9036722455195,0.5658159412078241
1248.0,29.9255977596753,17.63934513567,0.5894400264725536
1249.0,23.0203454737865,20.1111560763203,0.8736252937307599
1255.0,27.2637506941145,18.2254109719244,0.6684850949674642
1266.0,24.4688805352775,12.6817989842809,0.5182827618941201
1299.0,25.4575955654599,16.3850949823191,0.6436230373833852
1302.0,22.9926601414922,15.6595954588969,0.6810693222328736
1305.0,24.7213773243985,15.5780345113133,0.6301442798633523
1307.0,24.4688805352775,13.7308059431023,0.5611538265228847
1383.0,31.2377364471875,19.5409092357025,0.6255545842362682
1384.0,23.4181050324765,15.278726728555,0.6524322402417396
1402.0,29.6261203394813,15.205597360275,0.5132496994556265
1421.0,23.0618111551968,15.0371090865741,0.6520350455296138
1506.0,26.601565970858,17.3021113545382,0.6504170233245913
1535.0,27.3803127933634,14.8881177774564,0.5437526550487425
1557.0,30.9869502016986,16.6645433891669,0.5377923054929558
1563.0,31.7684697269133,19.1457700172686,0.6026657935320339
1590.0,26.4635309688178,19.0540632107896,0.7200121266221489
1593.0,22.9441304263009,12.893488209812,0.5619514869490181
1625.0,21.8346420249265,15.3411315903142,0.7026051342083243
1626.0,24.1676733079752,14.6400549927616,0.6057701461865782
1636.0,22.3749177132601,13.4850707731907,0.6026869437467924
1643.0,21.6809523376515,14.4098338679497,0.6646310385049528
1660.0,20.6810784624358,18.4425428977414,0.8917592441438499
1682.0,28.1940500566826,18.4598031194862,0.6547410919103064
1684.0,21.0095519677443,14.1533908070674,0.6736645707055972
1701.0,25.5075859829024,15.8013141435268,0.6194750908266403
1708.0,23.4113043629466,15.205597360275,0.6494980853925044
1717.0,28.0127359569925,17.2005776824927,0.6140270521558646
1732.0,23.089413572204,16.9581725971401,0.734456617709644
1736.0,24.3841339247706,15.0476948739369,0.61711008151291
