File_Name,NC
27.tif,0.5593808471961501
44.tif,0.5374655876896035
47.tif,0.6241150940772224
74.tif,0.6509745378411907
75.tif,0.555318629587446
80.tif,0.6214403401130751
100.tif,0.6740532813412895
101.tif,0.704091386718415
102.tif,0.6341752894119146
111.tif,0.6424036393366029
153.tif,0.6824612990181449
161.tif,0.6261926468146302
200.tif,0.5776133588679815
204.tif,0.5127509365424214
205.tif,0.7528508831746307
227.tif,0.6196578189188291
248.tif,0.5912504752186126
265.tif,0.6183469424008442
287.tif,0.6517643346850771
290.tif,0.5731972137681404
296.tif,0.643672677786649
322.tif,0.6193624578533063
323.tif,0.6481844084931299
353.tif,0.5291741532331888
364.tif,0.540298071041374
426.tif,0.6385048291071274
432.tif,0.6821929723635067
458.tif,0.7146849703697795
461.tif,0.5124919595578165
527.tif,0.5003284072603671
544.tif,0.9965589651357127
560.tif,0.5985364072132346
563.tif,0.578707943655038
566.tif,0.5567919460239767
568.tif,0.652993374677716
576.tif,0.5424810727442131
582.tif,0.5889052164344619
584.tif,0.5650909051581327
600.tif,0.7023101800251843
604.tif,0.6587834128064878
616.tif,0.6214104657446586
683.tif,0.5869124924035585
710.tif,0.5965380599234438
711.tif,0.6046232487894253
715.tif,0.6828731869634981
717.tif,0.652383219231076
724.tif,0.6393590005505118
761.tif,0.9133493730913361
762.tif,0.5786326607058917
764.tif,0.6028890256962401
810.tif,0.7335119312292452
819.tif,0.5862331026528581
854.tif,0.6263604120064583
884.tif,0.7216456065893121
889.tif,0.7333464230784118
891.tif,0.5367742999404097
895.tif,0.7016632300067871
898.tif,0.6411646064790899
941.tif,0.72395839357453
990.tif,0.6903442048450654
1034.tif,0.6452755835416804
1060.tif,0.5922293838492354
1089.tif,0.684860009511724
1109.tif,0.7031861589164199
1110.tif,0.7409962153618946
1194.tif,0.6982614558841701
1231.tif,0.7212295997508347
1245.tif,0.5658159412078241
1248.tif,0.5894400264725536
1249.tif,0.8736252937307599
1255.tif,0.6684850949674642
1266.tif,0.5182827618941201
1299.tif,0.6436230373833852
1302.tif,0.6810693222328736
1305.tif,0.6301442798633523
1307.tif,0.5611538265228847
1383.tif,0.6255545842362682
1384.tif,0.6524322402417396
1402.tif,0.5132496994556265
1421.tif,0.6520350455296138
1506.tif,0.6504170233245913
1535.tif,0.5437526550487425
1557.tif,0.5377923054929558
1563.tif,0.6026657935320339
1590.tif,0.7200121266221489
1593.tif,0.5619514869490181
1625.tif,0.7026051342083243
1626.tif,0.6057701461865782
1636.tif,0.6026869437467924
1643.tif,0.6646310385049528
1660.tif,0.8917592441438499
1682.tif,0.6547410919103064
1684.tif,0.6736645707055972
1701.tif,0.6194750908266403
1708.tif,0.6494980853925044
1717.tif,0.6140270521558646
1732.tif,0.734456617709644
1736.tif,0.61711008151291
1762.tif,0.6586115600550065
1768.tif,0.5447923437194823
1779.tif,0.5981959245660907
1811.tif,0.6940697202860479
1845.tif,0.6442886881430291
1851.tif,0.5999329721273692
1865.tif,0.7243237851248402
1867.tif,0.5207881994352862
1876.tif,0.6849641303245595
1894.tif,0.5454487513453181
1921.tif,0.6340928423495203
1931.tif,0.6481829341320728
1937.tif,0.5908594266686129
1950.tif,0.5552112994353139
1965.tif,0.9567082833399873
1973.tif,0.5838527022293806
2027.tif,0.5285578191136858
2064.tif,0.6250748458178863
2130.tif,0.5933630186817102
2132.tif,0.522380470473583
2148.tif,0.7439339437945741
2154.tif,0.6386174742997678
2201.tif,0.6455315766855528
2202.tif,0.6239658110292062
2205.tif,0.5807767103643072
2210.tif,0.6725834952202467
2219.tif,0.5506565683345657
2222.tif,0.540717306644498
2233.tif,0.9410385066081655
2258.tif,0.694102928858023
2265.tif,0.7103429847357572
2278.tif,0.6247915032096804
2290.tif,0.560574490302296
2338.tif,0.616128309656139
2345.tif,0.6650544111827281
2346.tif,0.6256322874730526
2347.tif,0.6685954438594907
2348.tif,0.6304120516287021
2354.tif,0.6237214728642054
2373.tif,0.7318594670904329
2391.tif,0.6741151054244429
2396.tif,0.5711276827604428
2407.tif,0.5493553287796205
2427.tif,0.6910102080520184
2429.tif,0.5849273684997821
2455.tif,0.5635135923031147
2469.tif,0.6040585496386806
2470.tif,0.6605356727199031
2497.tif,0.6943728537407706
2510.tif,0.619366680186591
2531.tif,0.6955809137483402
2540.tif,0.8072549266527689
2543.tif,0.5579687897934685
2554.tif,0.7166999058448816
2558.tif,0.6533106122275903
2575.tif,0.6932793361248007
2577.tif,0.6420387375057827
2601.tif,0.6795979458977761
2619.tif,0.6737102996768659
2623.tif,0.6841471817982226
2637.tif,0.6860523814083738
2663.tif,0.6829449961909962
2774.tif,0.547919686378743
2776.tif,0.6908973739178258
2801.tif,0.6973925295620306
2808.tif,0.6098486645509051
2830.tif,0.4862789697974158
2908.tif,0.6030573446360968
2911.tif,0.6208051073600125
2986.tif,0.6067364315147753
2992.tif,0.5445499549769014
3000.tif,0.6218186481043536
3004.tif,0.6306643771143945
3024.tif,0.567988700302012
3081.tif,0.5669691588480092
3118.tif,0.603572641562721
3139.tif,0.6560699052906203
3154.tif,0.6457535266310784
3171.tif,0.6750685067378263
3172.tif,0.5474136208621964
3175.tif,0.5565240062702016
3178.tif,0.6363812146441173
3217.tif,0.5866715985692226
3233.tif,0.5569286233669676
3240.tif,0.7172032703309805
3253.tif,0.6211751651978598
3263.tif,0.5517909970933781
3279.tif,0.608174763706845
3325.tif,0.6333503056931166
