DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_Morphology(M07, Ch07)
27	16.1304396345093
44	17.6754174537861
47	16.8545671294465
74	17.1170567146706
75	14.0744155109376
80	16.4529826154006
100	14.1308714756883
101	14.9201697365731
102	17.8189765016647
111	16.1600277479739
153	18.3212660536579
161	15.7204884772002
200	15.2683011205661
204	12.0111413247687
205	15.9816774069199
227	12.7194119160614
248	16.6262780266393
265	16.6549852906524
287	16.3169249007453
290	13.5086667155986
296	16.1797230968409
322	15.5882529673228
323	14.9840679721373
353	11.8778281915412
364	12.9181647648464
426	16.021482393623
432	14.7051704586027
458	16.71225188469
461	15.2683011205661
527	11.0153338405077
544	20.3551273685792
560	13.5909299091776
563	13.4614334705782
566	15.121587892221
568	17.6844240365126
576	15.1531460230179
582	16.6931848483795
584	14.3433777080726
600	17.0424722347613
604	17.693426034569
616	14.040432969171
683	12.9427942719831
710	16.8356612714161
711	13.0286308923822
715	20.5730019113233
717	16.7503208449165
720	22.2464482243509
724	15.1110538694224
761	20.1348953992528
762	12.9550914664644
764	13.9949945556068
810	15.8113883008419
819	14.5527811599861
854	15.6290599820836
876	24.2663038632733
884	16.8356612714161
889	15.423945317978
891	13.1865594572076
895	17.5125069047573
898	15.1321145818998
941	16.1106840366072
990	16.7883034806368
1034	16.4433015421203
1060	15.3411315903142
1089	19.8882226776021
1109	19.9681274697875
1110	15.6799194070462
1194	18.3646711513388
1231	17.5488399456913
1245	13.9036722455195
1248	17.63934513567
1249	20.1111560763203
1255	18.2254109719244
1266	12.6817989842809
1299	16.3850949823191
1302	15.6595954588969
1305	15.5780345113133
1307	13.7308059431023
1383	19.5409092357025
1384	15.278726728555
1396	21.5631202024717
1400	27.6753241512901
1402	15.205597360275
1421	15.0371090865741
1432	23.2474914748368
1506	17.3021113545382
1535	14.8881177774564
1557	16.6645433891669
1563	19.1457700172686
1590	19.0540632107896
1593	12.893488209812
1625	15.3411315903142
1626	14.6400549927616
1636	13.4850707731907
1643	14.4098338679497
1660	18.4425428977414
1682	18.4598031194862
1684	14.1533908070674
1701	15.8013141435268
1708	15.205597360275
1717	17.2005776824927
1732	16.9581725971401
1736	15.0476948739369
1762	15.5882529673228
1768	13.198629537041
1779	15.2995566315178
1790	25.0477251468441
1811	17.1449422450467
1845	13.5557353833512
1851	13.0774274335687
1865	20
1867	17.384743292987
1876	15.1741483144875
1894	15.7407338023658
1921	14.9094934062353
1931	14.4429472793696
1937	16.4336147657025
1950	11.5378082454286
1965	20.1507060773069
1973	14.0177321734517
2027	13.0530519651573
2064	12.893488209812
2130	13.8347849237113
2132	12.4024858819091
2148	16.0909041837999
2154	18.120263492692
2201	15.7912335593151
2202	19.2866410318903
2205	15.608669810346
2210	16.6358526188677
2219	14.0630971210805
2222	13.0286308923822
2233	21.2357108195779
2258	15.7609531219435
2265	16.2092212491281
2278	14.1871027821158
2290	14.2989020112075
2338	16.9769420246861
2345	16.1993944999684
2346	13.949408133005
2347	16.0611887305856
2348	14.0063679784962
2354	17.2005776824927
2373	15.931781320711
2391	15.1741483144875
2396	14.2654542413964
2407	15.710356031109
2427	17.6303155240542
2429	12.8439928708421
2455	15.4651858870915
2469	16.9487800887502
2470	16.4142240630606
2497	15.931781320711
2510	13.707592391517
2531	19.767759893579
2540	16.7693229166476
2543	14.9094934062353
2554	19.1124730007349
2558	18.5114872237665
2575	14.8774184460152
2577	15.5165824591046
2601	19.8802145344638
2619	18.3993215050755
2623	15.121587892221
2637	18.2254109719244
2663	16.559100871003
2774	13.3067675899997
2776	14.4208801201414
2801	17.0144187635039
2808	14.1983223194819
2830	11.4963300707461
2908	15.8716989646817
2911	14.7268116336062
2986	15.2474285187084
2992	13.8117461318325
3000	14.1195983414841
3004	16.7312971921631
3024	14.7376203041502
3081	16.9487800887502
3118	18.6997734922758
3139	15.9117790763885
3154	18.2864677961218
3171	16.0909041837999
3172	14.0517696145134
3175	12.9796509036113
3178	15.4342657910752
3217	14.3322717228935
3233	13.2227366430407
3240	17.2098327693515
3253	13.5086667155986
3263	16.3948104263879
3279	15.4445793677631
3325	16.4529826154006
3333	14.9308384327784
3344	12.4920356793444
3345	18.5887439401882
3357	15.9417730315211
3359	15.309960955489
3365	14.1308714756883
3368	18.903037871314
3380	16.797785720015
3429	14.0970250283413
3436	16.2680570913881
3456	12.8439928708421
3479	21.3628047491801
3485	13.1623860923205
3506	17.357243022736
3509	16.1007971476511
3524	15.4960442866892
3560	16.5109498505735
3576	14.7592138985943
3600	13.4140339097709
3629	17.1635074288779
3721	16.6262780266393
3722	17.5669782863943
3749	15.6188682235938
3750	12.4409432947705
3752	14.7159950242632
3783	15.8315173838505
3791	15.2369814955437
3803	20.0715281440706
3823	15.1951215771781
3833	15.730614396754
3836	18.5028832320287
3860	14.0857248060617
3900	13.1502827462276
3919	15.608669810346
3962	15.8214560435372
3972	20.4565719899405
3974	15.5165824591046
4007	13.8807477909394
4012	32.4675241955486
4077	14.6073884106073
4132	20.6810784624358
4137	17.5397637413367
4158	13.4614334705782
4196	23.4520787991172
4203	13.5674770359496
4226	13.707592391517
4233	18.2690438114161
4269	16.6836431586325
4272	16.2484688156609
4278	14.142135623731
4303	16.6740960086898
4310	16.1501710665153
4335	18.7338040454345
4349	14.0744155109376
4358	26.7150569439019
4381	13.6026411822763
4392	14.453968225101
4405	17.5397637413367
4438	19.6059915448977
4448	15.8917516561466
4457	15.3515077373174
4470	16.6071122819095
4496	14.802306585623
4502	15.1426339537521
4522	17.070479603261
4532	16.9205712812563
4545	16.71225188469
4555	23.0410876424101
4557	12.781854176071
4565	20.2295741129122
4572	17.0891256815704
4573	12.3510230629141
4581	13.8807477909394
4620	16.4529826154006
4653	15.4032836270977
4655	13.198629537041
4658	15.4342657910752
4669	16.4433015421203
4672	15.5370934825453
4673	15.2265273046076
4678	16.5398572841755
4679	13.9836118822672
4684	16.2582659035668
4695	14.6617922801492
4768	16.5109498505735
4785	16.0710999865308
4791	31.9882542137471
4806	15.5473388469837
4808	15.5882529673228
4825	16.2778423897715
4837	11.8644144908289
4849	17.1727824943638
4886	14.1983223194819
4888	16.2092212491281
4890	17.4122001302476
4891	15.6188682235938
4935	15.2578683888248
4951	16.3071630542833
4964	15.0371090865741
4967	16.0512713546906
5010	25.2692507179602
5043	13.1744783191173
5053	14.3655639204172
5060	15.5165824591046
5068	16.0512713546906
5095	17.594150736179
5147	12.3639088494787
5151	14.0290871628985
5195	14.6943379190415
5205	15.7912335593151
5230	14.802306585623
5254	15.2891452273644
5265	15.9217833396066
5266	16.2386658169914
5291	23.9824776799394
5323	13.0530519651573
5338	19.9362039841933
5363	17.384743292987
5369	16.6931848483795
5412	15.3515077373174
5417	17.8546859092284
5426	13.2106885889279
5438	12.9304853825871
5442	14.7484210533494
5443	18.3299552958128
5447	14.7592138985943
5455	14.0744155109376
5470	16.3850949823191
5477	12.4665156615172
5492	21.0095519677443
5496	12.3510230629141
5507	15.9717106598283
5517	15.4651858870915
5574	14.0970250283413
5577	14.1308714756883
5639	13.198629537041
5649	15.278726728555
5655	16.0115404240689
5660	14.4979682301538
5663	15.8113883008419
5670	18.8270709013939
5678	22.8537304095102
5686	14.9521529881449
5695	15.0265158418028
5702	14.5964833038908
5706	11.8644144908289
5709	15.4445793677631
5743	16.0115404240689
5751	12.4153182556282
5756	13.4258994883048
5761	12.781854176071
5763	15.2683011205661
5771	16.5783221205045
5783	18.0674602813762
5813	15.2995566315178
5820	16.8734518044228
5945	12.6817989842809
5951	15.1005124981574
5952	14.3877159211166
5986	14.541835102657
6015	15.6697607280356
6030	13.0774274335687
6057	23.9293013890534
6073	13.0164031741628
6074	16.6262780266393
6106	24.7664247758602
6167	14.8667114144405
